"Fact","Fact Note","San Bernardino County, California","Value Note for San Bernardino County, California","Riverside County, California","Value Note for Riverside County, California","San Diego County, California","Value Note for San Diego County, California","Orange County, California","Value Note for Orange County, California","Los Angeles County, California","Value Note for Los Angeles County, California","San Luis Obispo County, California","Value Note for San Luis Obispo County, California"
"Total annual payroll, 2023 ($1,000)","","39,234,766","","36,178,455","","106,219,947","","118,689,674","","299,616,607","","5,699,221",""
"Total employment, percent change, 2022-2023","","5.3%","","5.3%","","4.0%","","1.2%","","2.3%","","-0.8%",""
"Total nonemployer establishments, 2023","","177,961","","197,967","","299,736","","323,247","","1,128,124","","25,650",""
"All employer firms, Reference year 2022","","32,511","","36,188","","73,839","","85,955","","247,882","","7,365",""
"Men-owned employer firms, Reference year 2022","","18,711","","22,062","","43,270","","51,422","","149,187","","4,022",""
"Women-owned employer firms, Reference year 2022","","7,455","","7,595","","17,921","","19,506","","61,315","","1,687",""
"Minority-owned employer firms, Reference year 2022","","15,006","","13,429","","21,233","","31,524","","97,754","","1,156",""
"Nonminority-owned employer firms, Reference year 2022","","14,929","","20,017","","46,425","","48,495","","135,294","","5,461",""
"Veteran-owned employer firms, Reference year 2022","","1,119","","1,566","","3,635","","2,916","","6,107","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","29,063","","32,468","","64,776","","78,157","","230,445","","6,305",""
"Population per square mile, 2020","","108.7","","335.4","","783.5","","4,019.7","","2,466.9","","85.6",""
"Population per square mile, 2010","","101.5","","303.8","","735.8","","3,807.7","","2,419.6","","81.7",""
"Land area in square miles, 2020","","20,068.01","","7,209.27","","4,210.23","","792.84","","4,059.28","","3,300.85",""
"Land area in square miles, 2010","","20,056.94","","7,206.48","","4,206.63","","790.57","","4,057.88","","3,298.57",""
"FIPS Code","","""06071""","","""06065""","","""06073""","","""06059""","","""06037""","","""06079""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
